landuse	x.axis	y.axis	S_Series	Sam_Dist	type	Sam_Depth	Latitude	Longitude	Elevation	gravimetric	bd	Total_N	Total_C 	OM	C_N	Lat	Long	Elev2	Code_x.y	
Grassland	420	90	KkoC	30	Grid	(0-15)	40.54231° N	74.64875° W	-6.8285	0.27	1.218	0.172	1.698	2.928	9.872	40.54231° N	74.64875° W	26.5816	U2 / A-90	
Grassland	450	90	KkoC	30	Grid	(0-15)	40.54231° N	74.64839° W	-8.387	0.20	1.321	0.166	1.587	2.736	9.560	40.54231° N	74.64839° W	25.0224	U4 / A-90	
Grassland	360	150	KkoC	30	Grid	(0-15)	40.54278° N	74.64945° W	-7.1684	0.26	1.285	0.129	1.148	1.979	8.899	40.54278° N	74.64945° W	26.243	T5 / A-150	
Grassland	360	210	KkoC	30	Grid	(0-15)	40.54325° N	74.64945° W	-5.9939	0.19	1.295	0.166	1.448	2.497	8.723	40.54325° N	74.64945° W	27.4172	T5 / B-210	
Grassland	420	210	KkoC	30	Grid	(0-15)	40.54325° N	74.64874° W	-7.3421	0.24	1.299	0.129	1.252	2.159	9.705	40.54325° N	74.64874° W	26.0676	U2 / B-210	
Grassland	60	390	KkoC	30	Grid	(0-15)	40.54466° N	74.65299° W	-2.5597	0.24	1.345	0.171	1.687	2.909	9.865	40.54466° N	74.65299° W	30.8575	Q3 / B-390	
Grassland	60	450	KkoC	30	Grid	(0-15)	40.54513° N	74.65298° W	-3.2909	0.23	1.166	0.152	1.449	2.498	9.533	40.54513° N	74.65298° W	30.1261	Q3 / C-450	
Grassland	30	510	KkoC	30	Grid	(0-15)	40.54560° N	74.65334° W	-5.9335	0.24	1.381	0.140	1.326	2.286	9.471	40.54560° N	74.65334° W	27.4839	Q1 / C-510	
Grassland	60	510	KkoC	30	Grid	(0-15)	40.54560° N	74.65298° W	-4.6629	0.17	1.463	0.121	0.995	1.716	8.223	40.54560° N	74.65298° W	28.7538	Q3 / C-510	
Grassland	150	510	KkoC	30	Grid	(0-15)	40.54559° N	74.65192° W	-2.6419	0.24	1.540	0.149	1.439	2.481	9.658	40.54559° N	74.65192° W	30.7727	R4 / C-510	
Grassland	180	510	KkoC	30	Grid	(0-15)	40.54559° N	74.65157° W	-2.044	0.22	1.337	0.174	1.696	2.924	9.747	40.54559° N	74.65157° W	31.3699	R6 / C-510	
Grassland	390	570	KkoC	30	Grid	(0-15)	40.54605° N	74.64908° W	-3.5558	0.23	1.322	0.131	1.307	2.253	9.977	40.54605° N	74.64908° W	29.8529	T7 / C-570	
Grassland	375	120	KkoC	30	Grid	(0-15)	40.54254° N	74.64928° W	-7.2798	0.24	1.363	0.165	1.627	2.805	9.861	40.54254° N	74.64928° W	26.1313	T6 / A-120	
Grassland	405	120	KkoC	30	Grid	(0-15)	40.54254° N	74.64892° W	-6.4677	0.23	1.369	0.170	1.720	2.966	10.118	40.54254° N	74.64892° W	26.9427	U1 / A-120	
Grassland	435	120	KkoC	30	Grid	(0-15)	40.54254° N	74.64857° W	-7.5565	0.21	1.269	0.158	1.523	2.626	9.639	40.54254° N	74.64857° W	25.8532	U3 / A-120	
Grassland	345	180	KkoC	30	Grid	(0-15)	40.54301° N	74.64963° W	-6.8945	0.23	1.280	0.165	1.565	2.698	9.485	40.54301° N	74.64963° W	26.517	T4 / A-180	
Grassland	375	180	KkoC	30	Grid	(0-15)	40.54301° N	74.64928° W	-5.9965	0.24	1.249	0.211	1.928	3.324	9.137	40.54301° N	74.64928° W	27.4143	T6 / A-180	
Grassland	405	180	KkoC	30	Grid	(0-15)	40.54301° N	74.64892° W	-6.479	0.27	1.172	0.190	1.827	3.150	9.616	40.54301° N	74.64892° W	26.9312	U1 / A-180	
Grassland	405	240	KkoC	30	Grid	(0-15)	40.54348° N	74.64892° W	-6.2784	0.25	1.302	0.153	1.416	2.441	9.255	40.54348° N	74.64892° W	27.1315	U1 / B-240	
Grassland	75	300	KkoC	30	Grid	(0-15)	40.54396° N	74.65281° W	-1.3855	0.22	1.230	0.173	1.680	2.897	9.711	40.54396° N	74.65281° W	32.0318	Q4 / B-300	
Grassland	45	360	KkoC	30	Grid	(0-15)	40.54443° N	74.65317° W	-3.5953	0.28	1.186	0.153	1.486	2.562	9.712	40.54443° N	74.65317° W	29.8224	Q2 / B-360	
Grassland	105	360	KkoC	30	Grid	(0-15)	40.54443° N	74.65246° W	-1.1745	0.23	1.140	0.189	1.993	3.436	10.545	40.54443° N	74.65246° W	32.2418	R1 / B-360	
Grassland	315	480	KkoC	30	Grid	(0-15)	40.54536° N	74.64997° W	-0.1305	0.23	1.371	0.185	1.811	3.122	9.789	40.54536° N	74.64997° W	33.2804	T2 / C-480	
Grassland	75	540	KkoC	30	Grid	(0-15)	40.54583° N	74.65280° W	-4.8201	0.24	0.937	0.191	1.775	3.060	9.293	40.54583° N	74.65280° W	28.5961	Q4 / C-540	
Grassland	315	600	KkoC	30	Grid	(0-15)	40.54629° N	74.64997° W	-4.9406	0.21	1.404	0.163	1.633	2.816	10.018	40.54629° N	74.64997° W	28.4697	T2 / D-600	
Grassland	300	690	PeoC	30	Grid	(0-15)	40.54699° N	74.65014° W	-7.2075	0.26	1.236	0.162	1.498	2.583	9.247	40.54699° N	74.65014° W	26.2028	T1 / D-690	
Grassland	330	690	PeoC	30	Grid	(0-15)	40.54699° N	74.64979° W	-7.4305	0.28	1.199	0.166	1.849	3.188	11.139	40.54699° N	74.64979° W	25.979	T3 / D-690	
Grassland	390	690	PeoC	30	Grid	(0-15)	40.54699° N	74.64908° W	-7.7641	0.22	1.231	0.122	1.155	1.991	9.467	40.54699° N	74.64908° W	25.6441	T7 / D-690	
Grassland	345	660	PeoC	30	Grid	(0-15)	40.54676° N	74.64961° W	-6.5551	0.22	1.452	0.127	1.175	2.026	9.252	40.54676° N	74.64961° W	26.8542	T4 / D-660	
Grassland	405	660	PeoC	30	Grid	(0-15)	40.54676° N	74.64890° W	-6.9084	0.18	1.690	0.099	0.853	1.471	8.616	40.54676° N	74.64890° W	26.4995	U1 / D-660	
Grassland	435	660	PeoC	30	Grid	(0-15)	40.54676° N	74.64855° W	-6.7492	0.22	1.491	0.162	1.472	2.538	9.086	40.54676° N	74.64855° W	26.658	U3 / D-660	
Grassland	465	660	PeoC	30	Grid	(0-15)	40.54675° N	74.64819° W	-6.6412	0.33	1.308	0.158	1.727	2.978	10.930	40.54675° N	74.64819° W	26.7653	U5 / D-660	
Grassland	89.5	149	PenB	0.5	N1	(0-15)				0.25	1.388	0.259	2.764	4.766	10.672				PenB-L	
Grassland	89.5	149.5	PenB	0.5	N1	(0-15)				0.29	1.306	0.161	1.594	2.748	9.901				PenB-L	
Grassland	90	149.5	PenB	0.5	N1	(0-15)				0.30	1.259	0.181	1.935	3.336	10.691				PenB-L	
Grassland	91	149.5	PenB	0.5	N1	(0-15)				0.22	1.359	0.202	2.000	3.448	9.901				PenB-L	
Grassland	89.5	150	PenB	0.5	N1	(0-15)				0.36	1.234	0.180	1.775	3.060	9.861				PenB-L	
Grassland	90.5	150	PenB	0.5	N1	(0-15)				0.22	1.430	0.181	1.843	3.178	10.182				PenB-L	
Grassland	89	150.5	PenB	0.5	N1	(0-15)				0.23	1.452	0.186	1.890	3.259	10.161				PenB-L	
Grassland	89.5	150.5	PenB	0.5	N1	(0-15)				0.21	1.357	0.167	1.808	3.117	10.826				PenB-L	
Grassland	90.5	150.5	PenB	0.5	N1	(0-15)				0.23	1.387	0.192	1.985	3.422	10.339				PenB-L	
Grassland	89.5	151	PenB	0.5	N1	(0-15)				0.21	1.411	0.180	1.793	3.091	9.961				PenB-L	
Grassland	90.5	151	PenB	0.5	N1	(0-15)				0.23	1.355	0.173	1.732	2.986	10.012				PenB-L	
Grassland	179	629	PenB	0.5	N3	(0-15)				0.21	1.611	0.120	1.125	1.940	9.375				PenB-N	
Grassland	179.5	629	PenB	0.5	N3	(0-15)				0.20	1.622	0.144	1.430	2.466	9.931				PenB-N	
Grassland	180	629	PenB	0.5	N3	(0-15)				0.21	1.524	0.165	1.641	2.829	9.945				PenB-N	
Grassland	179	629.5	PenB	0.5	N3	(0-15)				0.20	1.501	0.135	1.252	2.159	9.274				PenB-N	
Grassland	180	629.5	PenB	0.5	N3	(0-15)				0.22	1.458	0.133	1.251	2.157	9.406				PenB-N	
Grassland	180.5	630	PenB	0.5	N3	(0-15)				0.18	1.521	0.140	1.299	2.240	9.279				PenB-N	
Grassland	181	630	PenB	0.5	N3	(0-15)				0.22	1.470	0.127	1.175	2.026	9.252				PenB-N	
Grassland	179.5	630.5	PenB	0.5	N3	(0-15)				0.22	1.561	0.123	1.169	2.016	9.504				PenB-N	
Grassland	179	631	PenB	0.5	N3	(0-15)				0.21	1.426	0.162	1.629	2.809	10.056				PenB-N	
Grassland	180.5	631	PenB	0.5	N3	(0-15)				0.22	1.550	0.205	2.149	3.705	10.483				PenB-N	
Grassland	134.5	479	KkoC	0.5	N2	(0-15)				0.20	1.462	0.142	1.385	2.388	9.754				KkoC-M	
